Student_ID,Basic_Arithmetic,Geometry_Understanding,Word_Problems,Advanced_Math_Concepts,Vocabulary_Knowledge,Passage_Understanding,Inferential_Thinking,Teamwork_Ability,Communication_Skills,Emotional_Recognition,Attendance_Rate,Participation_Score,Focus_Levels,Frequent_Interruptions,Consistent_Assignment_Completion,Age,Gender,Grade_Level,Socio_Economic_Status,Learning_Style,Study_Hours_Per_Week,Access_to_Technology,Extracurricular_Participation,Sleep_Hours_Per_Night,Stress_Level,Tutoring_Sessions_Per_Week,Parental_Involvement
30,73.9079055244167,61.87009363361738,90.6870492205964,73.78746503293073,72.46757028793368,44.1306824350468,50.36896979711564,69.38695171701345,78.95252537563648,69.71941228518823,83.17432940006256,79.82113002522641,49.08924706368697,20.031610176219953,64.5831114101049,14,Male,9th,Medium,Visual,2,Yes,5,7.4,2,0,9.9
31,87.92705636818164,86.80485465923718,79.83617533838269,83.39337578915806,44.21510731139977,67.08565724449862,83.87186810651556,81.91601268510325,57.1103678188877,52.522234563624295,99.89523269236088,79.62664957092451,61.874464704654834,29.241272485598465,79.57340211741798,18,Female,12th,Medium,Auditory,9,Yes,3,8.2,5,0,6.8
32,86.42327452364508,84.31651966169511,74.92777361008615,88.50238935229152,81.263923450496,84.24660896772696,86.18685298642718,60.09506580517488,71.13368245203462,63.11173769051442,90.04447303246707,85.61095253261742,62.87151721353472,24.531816030444773,79.56642932509037,15,Male,10th,Low,Kinesthetic,6,Yes,3,7.8,3,0,1
33,91.53169404844036,89.25071892277994,91.67521254205631,71.55191040191168,82.98593147333125,85.22632264976556,71.66661364568542,71.17356387743406,90.13464022121293,67.76551575055663,97.50335849588737,80.10337652309795,86.30565378202014,14.036487135204029,94.17483724161215,17,Male,12th,High,Kinesthetic,10,Yes,0,7.9,3,1,2.1
34,68.95992172957922,40.28780963751193,65.01207673429722,36.827006913435476,73.16965579340676,44.907538769162585,58.88429362562102,36.88500154161875,51.833296620392915,67.18389049422103,84.98809943790548,62.2298848319708,50.67402883729366,49.902622460442316,88.59512034276392,17,Male,12th,High,Visual,6,Yes,2,7.1,5,0,8.5
35,81.64415863694087,72.48857388862368,47.683035783668174,100,65.17323178203692,93.74734715095394,73.74643568004987,85.38430198896793,68.90289678823761,75.11470754698125,91.69420178979635,68.32863299081687,63.67820071987158,47.12618860018125,67.37123748993157,16,Female,11th,Low,Visual,12,Yes,2,6.5,4,1,1.3
36,67.98062858343064,64.34834642295611,46.91020196933922,31.83610838042369,52.45835498681748,17.016091792073844,72.94048438015307,72.27110155930336,80.09409292532354,67.83349289268362,76.2503747351002,61.78107413817199,72.31756747817059,18.320719542206803,65.63170023086874,18,Male,12th,Low,Kinesthetic,13,Yes,4,6,4,0,3.1
37,66.86193119036182,33.733393519281606,59.19441793647636,78.16796031578289,59.95127215876391,54.658551700436966,65.69894056840864,51.65113395055232,64.76080448894878,70.85322557339634,72.52684550709091,38.40561146032316,59.020751046320115,51.033323027916,36.932340214218584,14,Female,9th,High,Auditory,10,Yes,2,8.6,5,0,1.6
38,71.37957928710827,77.94696633789071,70.16802708715213,67.9253731955323,56.191132096256965,57.43473118454881,73.25245720908293,67.22999468483134,66.10988995788377,82.10393907181,91.85726528521627,65.54064972787845,63.4667240162724,36.475133579775914,78.56283344862047,17,Male,12th,Low,Kinesthetic,15,Yes,0,9.4,5,2,1.2
39,68.4198979205052,80.2624264607703,84.68229848114477,72.14411834815004,71.44104662462188,69.24374919220162,91.61415846302788,72.76315532135793,68.41705971300055,44.920821978027455,81.17516856640577,77.21098819590605,75.60011806356724,21.1057836047557,87.44497461511202,17,Female,12th,Low,Visual,12,Yes,5,6.2,7,0,9.9
40,75.10259384855341,74.76611619006576,85.61055702847298,58.23403235462912,78.31516191314012,79.50503252043649,85.8652089477829,85.53562948473606,81.48446572116346,57.16732323959808,94.44444102235138,66.31647424873493,32.210747636374066,18.303847395858853,60.5796535364155,18,Female,12th,Medium,Visual,4,No,1,6.2,8,0,1.9
41,85.54322271975349,62.8320389036464,80.68405838069198,90.74735902537937,68.08225190890057,72.8387890635235,52.489324806039214,61.81330222480197,70.56214849382839,72.99086903336152,84.47614444885403,70.97963498636508,53.35639645899281,11.922604043585828,77.45090754212522,17,Male,12th,Low,Visual,14,Yes,2,7,4,1,7.1
42,86.73007885136919,51.40047018424327,77.24406973151035,80.09701502756788,60.88855762930223,36.70710124892466,61.28245723164905,95.21296776502399,80.71550440729578,72.3998089337994,85.38521219627,58.96468752211663,28.117258783428614,31.490821728069303,71.46708484145002,15,Male,10th,High,Visual,13,Yes,0,6.7,5,1,7.5
43,86.23621207680229,78.93451612125584,62.1368764806868,44.157747140177605,42.009433829918294,47.55072601656059,100,61.39772425781585,86.31054651846021,64.72765742766079,93.80355962668546,75.45283290903244,77.969234241319,9.485925917158795,44.78759968175831,15,Female,10th,Low,Auditory,9,Yes,3,6.1,5,0,2.2
44,82.79521087315833,65.97609740708143,82.22699318116818,72.69366414965866,69.99795703043397,67.49352293196642,85.2027517635187,49.067434809294866,69.89558438472424,94.11346078079143,86.91510742530227,75.4128414348235,66.86035997437995,19.618689603127947,68.95486769665884,16,Female,11th,High,Kinesthetic,20,Yes,1,7,5,0,4.8
45,67.35393986246432,74.74355044016198,61.10441606486785,76.43062085148578,58.835835880664575,88.28530458135364,74.60591349478103,62.989963877467304,72.41045932501223,66.47546800772044,92.8947266144678,87.3483673348973,60.386565400446294,40.18799867697845,79.39563176770571,16,Male,11th,Medium,Auditory,17,Yes,2,9.2,3,1,2.2
46,58.55144245515687,72.50111862764679,72.50937781483826,71.69847930094343,74.93827611532899,69.14493555558451,68.7249539333111,43.96137112050202,67.63345574047887,81.24215034310444,97.63195335865021,52.200227120323845,68.84753884438138,40.966084717214045,89.45662241101154,18,Male,12th,Medium,Visual,8,No,0,7.5,8,1,5.7
47,55.74854748162879,74.95323396632836,89.52706946522017,61.789762054365454,67.8784946791805,69.63462777795259,73.65018751433036,76.6515987574597,83.17820883711482,69.04512409555008,91.55607448890805,72.00817442988905,53.61907677097628,45.42764234319229,80.00707238958465,15,Female,10th,High,Visual,7,Yes,3,8,4,0,5.3
48,81.09808614148068,58.8650967008907,78.10674148318196,71.71294749141941,68.56316887853167,45.0081416435878,90.20098783650973,69.08149483883334,71.08303877120606,59.31445263441906,76.13762668799609,48.1408354546126,37.3312485719607,30.422394667594922,71.03638004228304,16,Female,11th,Low,Kinesthetic,10,Yes,1,4.7,2,0,4.1
49,68.37392724299185,94.08016828998268,69.00505712139814,49.790832946407356,68.58738242717487,59.94622418406586,71.56155707275326,72.3363361408987,73.55587611628384,53.781417408757854,91.74682760611176,73.2806058981887,39.15055353049891,34.876318791464094,64.45862016062993,15,Female,10th,Low,Auditory,12,Yes,3,8.4,6,1,9.9
50,69.66028863249612,67.97307754118773,71.89938298120155,43.330856294437915,92.10506732814521,78.73459995282464,57.22392627405634,77.07580821189539,91.90378768666818,93.4481091856534,89.33420789777301,58.88791626739469,55.01301745473242,19.492582805306288,89.86058221060247,16,Male,11th,Medium,Kinesthetic,18,Yes,1,6.2,4,2,5
51,64.01509992909884,60.40583255708163,72.87861200541458,63.15880457262337,71.46417178667963,93.05061982045692,58.75396328741763,66.94530360090195,64.83240550256266,85.12395426832454,84.41605490166694,81.64855112680942,61.59533110352265,33.795769777978705,70.3687499609176,16,Female,11th,Low,Auditory,11,No,3,7,5,1,8.1
52,61.15445544820753,66.76935191829652,47.65178594530825,48.66182051494912,53.16232993169253,39.93801521723456,65.27935498160917,69.91269252469114,87.44911021352651,76.810708582396245,81.2139526521787,55.042012751486666,34.40067434350709,34.82019759423338,68.67824867143266,14,Female,9th,Low,Kinesthetic,15,Yes,0,7.1,5,0,1.6
53,21.759858378743516,73.60860183579065,58.74588603977785,86.24311059722493,68.22237885661316,52.63648829245609,93.56869376349715,88.98671228698609,40.37545820451785,65.62838347146509,70.40868240525015,57.32406348528058,42.937709289043184,32.376592806028704,67.59132752017844,14,Male,9th,Low,Visual,23,Yes,1,5.2,4,1,7.3
54,91.56724053335887,77.89992648690236,61.709918227477765,78.71348271624237,83.20689758300185,61.57495968775827,69.47207259985916,56.98947479194829,60.167538094773434,58.63028358999432,95.68083854857832,77.21220807112894,42.04597181716974,33.00131566881373,65.45551064812177,14,Female,9th,Low,Visual,10,Yes,4,5.3,8,1,8.3
55,62.50378318283667,76.22724420535523,58.63106888308857,64.00377376309588,74.28332039471543,68.5491196983963,83.22188821835415,64.7765267142475,76.061302614356,64.11069432549333,84.92777344654314,83.42802953183721,32.78754105849254,39.79196213459521,45.7116227882682,16,Male,11th,Low,Visual,12,Yes,4,6.1,4,1,4.4
56,81.50882637271395,67.44828236567362,55.56026735058826,62.358197700594495,87.96201888561518,75.78284241481404,61.71201056571706,79.84326617758417,64.20314530570933,69.85336506491127,84.39663623459637,77.16331619499122,68.36596473081904,44.81934015876881,68.8701224510515,14,Female,9th,Low,Kinesthetic,12,Yes,1,6.4,2,1,9
57,86.16136615490393,82.43857611929462,70.2126855490686,53.36109960767172,59.10854809115484,74.57786957944971,69.28873266279106,87.79102666851449,75.35137960496205,66.28055124836504,83.05107405409217,57.142875470381824,55.7104363333681,35.448266040726864,93.14288187543298,15,Prefer not to say,10th,Medium,Kinesthetic,15,Yes,5,9.4,5,3,2.9
58,45.1494559138737,50.22951102138441,68.91922085020286,46.28988760039405,46.16198556730694,64.42666263383704,92.3807411484595,82.94893872174754,53.08941544285675,58.457652051659835,70.66371456254274,61.020094052259786,33.20949030237655,22.516277199968194,81.23884931867227,16,Male,11th,Medium,Auditory,11,Yes,0,7.3,6,2,7.8
59,46.225930746074795,74.87373835831502,85.1724924908461,55.53548200009198,81.55429641129243,83.51304310710844,85.40623152914512,88.87279510362018,83.0409297672598,94.57996028970106,96.82487278711051,59.101580988780974,72.49851659194256,27.727802240860207,74.254797830028,17,Female,12th,Medium,Auditory,7,Yes,4,6.7,5,1,5.2
60,79.47459026214301,55.18558604117134,58.10115218100984,73.37388059907289,64.91457634255443,73.38484079687825,53.68150740539756,49.87567598762459,65.56472392587557,61.01127603955586,97.17704276554286,69.29805775694642,53.19530438914478,45.75307706837485,54.94542181763753,14,Male,9th,Low,Kinesthetic,8,Yes,1,7.8,5,1,2
61,74.8544416672507,63.63156556342224,96.16250751156862,72.71155880826171,75.80263040424263,100,79.59970185689897,81.45000550506781,87.39892200108916,67.45260303396024,98.44020060845651,93.72140908665614,68.54626337042522,9.72596053255467,96.29032390672468,18,Male,12th,Medium,Visual,11,Yes,0,5.3,4,2,9.4
62,68.5246104305763,64.1131465032974,51.39901514446446,94.15604550318126,68.82671926846398,53.56755205632179,82.62658684854887,70.08234391049699,60.46901436674643,57.76091898205374,90.89952853973955,62.53321058953744,47.29655416769522,41.970776637460844,69.51372638896677,18,Male,12th,Medium,Visual,18,Yes,0,6.7,4,1,4.4
63,78.03045695225451,69.31635359436001,61.46365668634264,76.8659286411726,71.73104873492954,83.99783356212508,71.17459584626988,66.68454241799147,72.78294913305363,58.144083509646606,84.03214510530233,72.19473897036687,61.06451078086387,35.20012034919471,67.63811004625309,14,Female,9th,Medium,Visual,13,Yes,4,7.1,4,0,6.7
64,60.89472001856099,71.63173084939147,63.17136505193315,76.60812359418102,55.476961142862166,86.10866243888246,84.14903087206527,59.904287137360306,84.19078155771582,55.48837561952844,87.30810593813658,68.99986041061192,71.52761147822665,24.241404320873066,74.89902328047539,17,Female,12th,Medium,Kinesthetic,15,Yes,1,5.4,3,0,7.5
65,52.21340851256055,58.668542685553994,76.2503388366511,54.40517761417665,77.65144411350816,76.25659220859824,81.0693013616149,94.3479064699965,78.41998869753982,88.46481720702636,98.87548788683489,79.15110700623667,85.82434021046767,12.96487584633709,76.88052099945868,15,Male,10th,Medium,Kinesthetic,5,Yes,0,7.6,5,0,1.5
66,59.17955552945794,77.85972639007926,68.33139705805368,30.169588745917068,53.907956650357605,88.94851230837597,76.135100746653535,92.87890622116316,77.78565105199499,83.79768369971075,77.81021531438455,57.52070029083694,59.4535974448097,45.966616331035524,60.11557077616794,16,Male,11th,Medium,Visual,11,No,2,4.7,6,0,7.3
67,81.07995040979597,62.12560554545105,77.94353388436969,68.02756208433155,74.58242890929438,82.14482295998228,62.695690745761624,83.91090502252028,91.60632665332136,79.12937675385344,86.0257776803337,80.80350190130022,74.55902606918802,29.172660302289618,73.072760253967,15,Female,10th,Medium,Visual,21,Yes,0,6.5,4,2,3.5
68,54.28212270843464,79.61008855816607,59.05524869144017,68.03678385419491,74.70609572617313,86.00638505356484,97.56107170856005,79.70504086217413,84.00708534024385,91.3469796673079,87.98761571990326,78.35729167902845,51.751024158216666,23.98071764303752,60.65555929267949,18,Male,12th,Medium,Visual,4,Yes,0,7,9,2,1.1
69,55.342348263199895,51.66659495215572,65.22744535605115,65.14244278606236,51.286740421186146,67.67330642050031,77.09187731602516,45.59027194188825,47.171147602008006,67.80934035784418,74.31549519766122,66.51660947566623,55.18778872685365,34.60104860034527,47.13098539501247,18,Male,12th,Low,Auditory,11,Yes,0,8.1,6,2,5.9
70,74.28912683617375,62.21050521951606,58.640301431426956,76.877713255585,56.031319802243736,40.790503332678966,67.8581876096523,83.24249513315478,78.43282350057935,65.60380591882367,85.87472921819426,72.53295047849076,46.059942449573334,31.874561310028977,70.7359860900787,18,Female,12th,High,Auditory,13,Yes,1,8.5,7,1,1.6
71,75.94526683942117,64.39030730018507,76.4951126623479,49.88544694370042,73.50801126264903,68.59602773220696,67.34500153080084,59.97640848134157,51.641411234289784,58.69154988996922,74.76798082585447,37.83739647728616,36.69630645222026,41.58823107127909,49.56871134590892,18,Male,12th,Low,Visual,7,Yes,1,7.8,4,1,3.3
72,74.15489849098739,89.11633173357184,83.668949072623775,86.61234325998913,76.01344483720484,89.41508673046155,80.6491447996593,84.08433192203613,70.08001583976625,68.62434277877206,98.80704362527467,90.22796612555422,97.73238631927565,19.807716031453307,97.46592420313858,15,Non-binary,10th,Medium,Kinesthetic,9,Yes,2,9,7,0,3
73,61.24533236453952,59.7329815638934,59.8723797002312,36.94134132108621,59.3793814452614,68.90137238550702,51.00329055777373,51.14072716134447,41.226750994488945,64.25222635739226,76.61271699122153,50.36178693526378,33.67002135822867,37.5257490025789,67.72981380058177,18,Male,12th,Medium,Kinesthetic,9,No,2,7.6,1,0,1.6
74,77.18513364859557,88.29885689036063,60.73548618665655,75.7925096771794,70.24742072161963,60.293504959592084,53.039804364138185,76.62820286341177,69.17069040403808,57.085041720983526,92.30296966154128,73.60357237879846,51.24540839159866,10.059212126693993,94.02209771399305,17,Male,12th,Low,Auditory,15,Yes,1,8.8,4,0,1.3
75,100,70.48976488826548,72.74709971266783,83.36840468111241,44.472933496920874,44.7320565566519,57.72878963354804,72.63421767728128,81.22409782886115,67.0928401075913,80.37977618980221,66.05881567596057,32.8943307004772,25.285141776564295,59.30348184974491,14,Male,9th,High,Auditory,0,No,1,7.8,2,2,8.2
76,55.978229779650945,82.64640087256882,70.4629659568419,62.29103031328488,84.76197464117092,76.10727338389523,85.56856956853728,92.79082281930138,65.28193430174291,72.12686484275257,99.9233005521819,61.36995753992123,64.56063052542204,28.535725121520795,60.66437820089196,18,Male,12th,Medium,Visual,14,No,4,5.3,1,0,8.2
77,67.09392214277302,80.62134946069213,81.93383694550025,98.08359911450941,69.9641969160022,55.0417318601786,62.3158297298484,74.08488504840149,89.00136334894722,71.10009123439723,97.45874807238579,83.0785594599729,45.518929215187825,18.164424711586822,82.63398021037723,16,Non-binary,11th,Low,Auditory,9,Yes,0,8,4,0,6.6
78,78.516976068511255,77.20644940872079,90.61767978861475,87.31329373681743,72.76103010539455,64.59562822752467,86.62084102432253,74.8265450882003,85.57557727719599,70.52849025718494,97.76131732040085,80.58503669381767,68.17200493217523,23.103317788644752,92.23156508319047,17,Female,12th,Low,Visual,12,Yes,4,4,4,0,4.1
79,79.21884693273688,75.30957726574763,78.12970321016833,77.59034737955776,50.31338443325778,68.51183638640133,71.12463812551901,77.2467620264776,58.125139239947146,65.00399810184086,82.8298271773383,90.06025517663349,63.179125222384805,6.483249331181511,88.27337527942419,16,Female,11th,Medium,Auditory,5,Yes,0,8.8,4,2,3.5
80,74.1422088105665,68.9595237116432,69.24407848772393,73.93017072135034,82.36937459074534,71.43859111480234,55.50551428902088,72.69867163828269,83.38686490721193,86.1114313058128,87.73936077486724,75.78334940469455,80.47009172210309,12.984201973395937,72.19323720286208,18,Female,12th,Medium,Visual,16,Yes,3,6.9,3,2,8.4
81,75.65068019492193,76.94307149930218,59.13872716318133,80.09277283170933,73.07390076162334,72.63806013604717,75.08484791605046,68.83641560123006,79.25546098499113,76.4822977373149,88.80599430762231,67.61916865790647,69.05758300395175,35.24403580181477,68.62340384273705,17,Male,12th,Low,Visual,6,Yes,3,7.1,4,0,9.6
82,73.25169501247449,71.90648330364562,70.676109885554,72.12184003641372,91.87541546070406,87.29105734582957,73.47776613202984,81.51410523228836,90.85229267167969,92.03788628031099,96.89194546313956,87.94701862826605,58.31582252652994,23.2990218844636,87.73043133309405,15,Male,10th,Low,Auditory,11,Yes,3,5.6,6,0,4.9
83,63.05063174765106,67.91784436192802,80.59578067475985,55.470153841731594,63.37154940923165,55.11736802632816,63.204813708584425,62.589779826660305,55.074142287608566,75.51274211467889,82.1535679209046,50.997762718213835,52.27491613036613,29.273024725664868,73.29786511423201,16,Male,11th,Medium,Kinesthetic,12,Yes,0,9.2,3,0,4.4
84,56.04915724406047,67.26917337223111,52.556560373036675,42.37513901360903,63.97681819654864,64.89253277956266,66.39977196616766,57.98051106629113,46.38389450317388,44.07489267797345,83.61702678608708,55.08374054686708,36.972429329349936,39.23134101565986,68.2483693593782,14,Female,9th,Medium,Auditory,6,No,5,9.5,1,1,9.1
85,76.71631506924541,60.038697108076136,68.80824968213766,48.21311413735236,60.329680973310886,68.55388929864482,52.01867443625075,53.114575254084215,81.02565199436084,64.23381075788559,80.64070094376802,77.80172652622342,38.93621777390901,21.18437254853318,73.276064790523,18,Female,12th,Medium,Auditory,11,Yes,0,6.8,6,0,3.5
